"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","reLL","weights","model_id","Nparam"
"1373"," ","X"," ","X","X"," "," "," "," "," ","X",823.833711743898,53.6615934358274,2.22604039149594e-12,6.28543647183365e-13,385,4
"1374"," ","X","X","X","X"," ","X","X"," ","X","X",823.847873042201,53.67575473413,2.21033425094218e-12,6.24108869223114e-13,1948,8
"1375","X"," "," ","X"," ","X","X"," "," ","X","X",823.985292866137,53.8131745580658,2.06356245624993e-12,5.82666458972183e-13,1245,6
"1376","X"," ","X","X","X","X"," ","X","X"," "," ",823.986854879108,53.8147365710369,2.06195142978129e-12,5.82211570347442e-13,1616,7
"1377","X"," "," ","X","X"," "," "," "," "," "," ",824.000289798845,53.8281714907741,2.04814677182894e-12,5.78313694059733e-13,84,3
"1378"," "," "," ","X","X","X"," "," "," "," "," ",824.010850445272,53.8387321372014,2.03736039771747e-12,5.75268058881772e-13,176,3
"1379"," ","X"," ","X","X","X"," "," "," "," "," ",824.025502626214,53.853384318143,2.02248905204815e-12,5.71068993185915e-13,380,4
"1380","X"," ","X","X"," "," ","X","X"," ","X"," ",824.038708539455,53.8665902313845,2.00917863697819e-12,5.67310671070308e-13,1176,6
"1381"," ","X","X","X","X","X","X"," "," ","X","X",824.135539329451,53.9634210213804,1.91422072029091e-12,5.4049840139561e-13,1941,8
"1382"," ","X"," ","X","X","X","X","X","X"," ","X",824.139733069411,53.9676147613403,1.9102110536715e-12,5.39366233942324e-13,1965,8
"1383"," ","X","X","X","X"," ","X","X","X"," ","X",824.21655387485,54.0444355667789,1.83823033164804e-12,5.19041793415387e-13,1947,8
"1384","X"," ","X"," ","X","X","X","X"," ","X"," ",824.23728470396,54.0651663958887,1.81927472330092e-12,5.13689497360656e-13,1648,7
"1385","X","X","X","X","X","X","X"," ","X"," "," ",824.255987486424,54.083869178353,1.80234127266574e-12,5.08908176742081e-13,1817,8
"1386"," ","X"," "," ","X","X"," "," "," "," "," ",824.25705566612,54.0849373580487,1.80137891750456e-12,5.08636446621999e-13,127,3
"1387"," "," "," ","X"," ","X","X","X"," ","X","X",824.269149943958,54.097031635887,1.79051859896674e-12,5.0556993253294e-13,1475,6
"1388","X"," "," "," "," ","X","X"," "," ","X","X",824.293481899614,54.1213635915428,1.76886716189651e-12,4.99456443633604e-13,762,5
"1389"," "," ","X","X","X","X"," ","X","X"," ","X",824.307595841594,54.1354775335234,1.7564282597574e-12,4.95944201471538e-13,1787,7
"1390"," "," ","X"," "," ","X","X"," "," ","X","X",824.331905525185,54.1597872171138,1.7352083755549e-12,4.8995256562324e-13,958,5
"1391","X"," ","X","X","X","X"," "," ","X"," ","X",824.339639150639,54.1675208425684,1.72851160564571e-12,4.88061669034323e-13,1620,7
"1392"," "," ","X","X"," "," ","X","X"," ","X","X",824.354220481159,54.1821021730881,1.71595543317369e-12,4.84516314479942e-13,1434,6
"1393","X"," ","X","X"," ","X","X"," ","X"," "," ",824.358544398336,54.1864260902649,1.71224961594271e-12,4.834699417874e-13,1166,6
"1394","X","X","X","X","X","X"," "," "," ","X","X",824.363852985373,54.1917346773017,1.70771082918613e-12,4.82188372237869e-13,1825,8
"1395","X","X"," ","X","X","X"," ","X"," ","X","X",824.371426612356,54.1993083042851,1.70125627558679e-12,4.80365867724577e-13,1880,8
"1396"," "," ","X"," "," ","X","X","X"," ","X"," ",824.374575258256,54.202456950185,1.69858005595808e-12,4.79610211694022e-13,954,5
"1397","X"," ","X"," ","X","X"," ","X","X"," "," ",824.383914762152,54.2117964540806,1.69066659975248e-12,4.77375772173386e-13,1189,6
"1398","X"," ","X"," "," "," ","X"," "," ","X","X",824.463500564656,54.2913822565847,1.62471105495559e-12,4.58752597662728e-13,697,5
"1399"," ","X","X"," ","X","X"," ","X","X"," ","X",824.480729365342,54.3086110572708,1.61077525394967e-12,4.54817691888266e-13,1738,7
"1400","X"," ","X"," ","X","X","X"," "," ","X","X",824.498077990952,54.3259596828811,1.5968633110424e-12,4.5088952267456e-13,1652,7
"1401","X"," ","X","X"," "," "," ","X"," ","X","X",824.528045655886,54.3559273478155,1.57311454679742e-12,4.44183833527289e-13,1183,6
"1402","X"," ","X","X"," ","X"," "," "," ","X","X",824.529103063805,54.3569847557345,1.57228305473372e-12,4.43949053845699e-13,1174,6
"1403"," ","X","X"," ","X"," "," "," "," "," "," ",824.559278021535,54.3871597134639,1.5487393217701e-12,4.37301257228082e-13,113,3
"1404"," "," ","X","X"," ","X","X","X","X"," "," ",824.573235225627,54.4011169175561,1.53796891128531e-12,4.34260129531733e-13,1422,6
"1405","X"," ","X"," ","X","X"," "," ","X"," ","X",824.580512886366,54.4083945782953,1.5323826731539e-12,4.32682802137961e-13,1193,6
"1406","X"," ","X"," "," "," ","X","X"," ","X"," ",824.637995799942,54.4658774918712,1.48896667103043e-12,4.2042388157881e-13,693,5
"1407"," "," ","X","X"," ","X","X"," ","X"," ","X",824.728894243367,54.5567759352956,1.42280908772094e-12,4.01743659575183e-13,1426,6
"1408","X"," ","X"," ","X"," "," ","X","X"," ","X",824.756699941724,54.5845816336532,1.40316485935334e-12,3.96196925117245e-13,1202,6
"1409","X","X"," ","X","X","X"," ","X","X"," ","X",824.76180259454,54.5896842864689,1.39958949069875e-12,3.95187385819231e-13,1879,8
"1410","X"," ","X","X"," ","X"," ","X"," ","X"," ",824.785433662285,54.6133153542144,1.38314990615361e-12,3.90545512981858e-13,1170,6
"1411","X","X","X","X","X"," ","X"," ","X"," ","X",824.798814292276,54.6266959842052,1.37392708379029e-12,3.87941361490399e-13,1830,8
"1412","X"," "," "," ","X","X","X","X"," ","X","X",824.802917200666,54.6307988925946,1.37111142439663e-12,3.87146333317827e-13,1691,7
"1413"," "," ","X"," ","X","X","X","X"," ","X","X",824.845780302027,54.6736619939566,1.3420390264653e-12,3.7893746563603e-13,1803,7
"1414"," "," "," "," "," ","X","X","X"," ","X","X",824.978690564513,54.8065722564423,1.25575249148502e-12,3.5457364294597e-13,1020,5
"1415"," ","X"," "," ","X"," "," "," "," "," ","X",824.983204800775,54.811086492704,1.25292130613051e-12,3.53774230870891e-13,132,3
"1416"," "," ","X"," ","X"," "," "," "," "," "," ",825.035210369854,54.8630920617829,1.22076179381726e-12,3.44693687122347e-13,32,2
"1417","X"," ","X","X"," "," ","X"," ","X"," ","X",825.041629397525,54.8695110894541,1.21685002274964e-12,3.43589161407906e-13,1179,6
"1418"," ","X"," "," "," "," "," ","X"," "," "," ",825.085267987805,54.9131496797343,1.19058677765589e-12,3.36173484710773e-13,27,2
"1419","X"," ","X","X"," "," ","X","X","X"," "," ",825.0895411151,54.9174228070286,1.18804572875093e-12,3.35455995417902e-13,1175,6
"1420","X"," "," "," "," ","X","X","X"," ","X"," ",825.097747308798,54.9256290007266,1.18318104901576e-12,3.34082406890577e-13,758,5
"1421"," ","X"," "," "," ","X"," "," "," "," "," ",825.105480255243,54.9333619471718,1.17861514383557e-12,3.32793180196572e-13,25,2
"1422"," "," ","X"," ","X","X"," ","X","X"," ","X",825.135205093636,54.9630867855652,1.16122760202604e-12,3.2788364262202e-13,1444,6
"1423"," ","X","X","X","X","X"," ","X"," ","X","X",825.137234035808,54.9651157277374,1.16005016753702e-12,3.27551182810927e-13,1944,8
"1424","X","X"," ","X","X","X","X"," ","X"," ","X",825.145430836313,54.9733125282424,1.15530554695577e-12,3.26211494126016e-13,1876,8
"1425","X"," "," ","X"," "," ","X","X"," ","X","X",825.157189874781,54.9850715667102,1.14853283542563e-12,3.24299154699141e-13,1252,6
"1426","X"," "," ","X","X","X"," ","X","X"," ","X",825.158065316423,54.9859470083521,1.14803020870312e-12,3.24157233270155e-13,1675,7
"1427"," "," ","X","X"," ","X"," ","X"," ","X","X",825.185386344013,55.0132680359421,1.13245415685498e-12,3.19759187091503e-13,1430,6
"1428","X"," "," ","X"," ","X","X","X"," ","X"," ",825.192083197248,55.0199648891767,1.12866855864923e-12,3.18690287482985e-13,1241,6
"1429","X"," "," "," ","X","X"," ","X","X"," ","X",825.255019769026,55.0829014609554,1.09370431147428e-12,3.08817800207229e-13,1262,6
"1430"," ","X","X","X","X","X"," ","X","X"," ","X",825.397997262897,55.2258789548259,1.01824610109685e-12,2.87511457814813e-13,1943,8
"1431"," "," ","X","X"," "," ","X","X","X"," ","X",825.410070112471,55.2379518043998,1.01211804946241e-12,2.85781144232384e-13,1433,6
"1432"," "," ","X"," "," "," ","X","X"," ","X","X",825.424512533565,55.2523942254937,1.00483565741752e-12,2.83724891671289e-13,965,5
"1433","X"," "," "," "," "," ","X","X"," ","X","X",825.437771851072,55.2656535430009,9.98195973643375e-13,2.818501138948e-13,769,5
