"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
243,"-2.984*** (-3.46--2.69)",NA,"0.908*** (0.543-1.254)","0.883*** (0.546-1.205)","4.699*** (3.104-6.328)","1.029 (-0.812-2.915)","-0.236** (-0.39--0.09)",NA,"-0.097 (-0.208-0.009)","-0.081 (-0.252-0.054)","-1.811 (-6.366--0.533)",NA,NA,NA,594.662948959095,26.1975346258041,6
244,"-2.893*** (-3.115--2.698)","-0.322** (-0.555--0.105)","0.907*** (0.537-1.26)","0.853*** (0.513-1.178)","4.469*** (2.896-6.075)","1.417 (-0.443-3.327)","-0.139 (-0.297-0.012)","-0.189 (-0.391-0.001)",NA,NA,NA,"0.066 (-0.051-0.187)","-0.394 (-1.564-0.506)",NA,594.681521183517,26.216106850226,7
245,"-2.801*** (-3.004--2.622)","-0.343** (-0.57--0.131)",NA,"0.959*** (0.632-1.272)","4.519*** (3.071-5.991)","1.191 (-0.499-2.928)","-0.18* (-0.334--0.035)",NA,NA,NA,NA,NA,"-0.308 (-1.447-0.542)",NA,594.686975878747,26.2215615454564,4
246,"-2.862*** (-3.067--2.681)",NA,"0.962*** (0.6-1.307)","0.904*** (0.571-1.221)","5.611*** (4.117-7.097)","0.123 (-1.607-1.957)",NA,"-0.269** (-0.469--0.078)",NA,NA,NA,"0.055 (-0.06-0.174)",NA,"-0.077 (-0.363-0.066)",594.713275351004,26.2478610177133,5
247,"-2.994*** (-3.507--2.712)","-0.303** (-0.54--0.079)","0.899*** (0.531-1.25)","0.835*** (0.494-1.161)","4.497*** (2.926-6.1)","1.36 (-0.49-3.261)","-0.134 (-0.293-0.016)","-0.178 (-0.379-0.009)",NA,NA,"-1.205 (-6.098--0.752)",NA,"-0.154 (-1.422-0.79)",NA,594.715273733422,26.2498594001314,7
248,"-2.808*** (-3.009--2.63)","-0.348** (-0.574--0.138)",NA,"0.957*** (0.63-1.269)","4.567*** (3.122-6.035)","1.135 (-0.548-2.865)","-0.177* (-0.331--0.032)",NA,NA,NA,NA,NA,NA,"0.042 (-0.164-0.128)",594.766020075045,26.3006057417541,4
249,"-2.831*** (-3.032--2.653)","-0.392*** (-0.61--0.188)",NA,"0.937*** (0.61-1.249)","4.984*** (3.578-6.394)","0.825 (-0.837-2.563)",NA,"-0.228* (-0.425--0.042)",NA,NA,NA,"0.057 (-0.057-0.176)",NA,NA,594.800728721627,26.3353143883361,4
250,"-2.839*** (-3.045--2.659)",NA,"0.945*** (0.585-1.287)","0.885*** (0.552-1.202)","5.565*** (4.062-7.062)","0.163 (-1.572-1.997)",NA,"-0.251** (-0.445--0.066)",NA,"-0.033 (-0.202-0.1)",NA,NA,"-0.44 (-1.491-0.313)",NA,594.822716091829,26.3573017585379,5
251,"-3.044*** (-3.56--2.742)","-0.397*** (-0.632--0.173)","0.935*** (0.568-1.284)","0.826*** (0.486-1.151)","4.711*** (3.171-6.264)","1.196 (-0.629-3.1)",NA,"-0.229* (-0.431--0.037)",NA,"-0.095 (-0.265-0.04)","-1.567 (-6.479--0.302)","0.06 (-0.058-0.182)",NA,NA,594.829762046174,26.3643477128826,7
252,"-2.844*** (-3.051--2.662)",NA,"0.947*** (0.586-1.29)","0.891*** (0.558-1.209)","5.607*** (4.116-7.091)","0.124 (-1.602-1.95)",NA,"-0.255** (-0.451--0.067)",NA,NA,NA,NA,"-0.382 (-1.464-0.417)","-0.046 (-0.346-0.096)",594.854741249294,26.3893269160026,5
253,"-2.79*** (-2.981--2.621)",NA,NA,"1.054*** (0.727-1.367)","4.983*** (3.478-6.511)","0.837 (-0.896-2.624)","-0.269*** (-0.418--0.128)",NA,"-0.255** (-0.415--0.102)",NA,NA,"0.236** (0.069-0.41)",NA,NA,594.868600184865,26.4031858515737,4
254,"-2.888*** (-3.106--2.697)","-0.361** (-0.599--0.138)","0.912*** (0.544-1.262)","0.847*** (0.506-1.172)","4.589*** (3.029-6.188)","1.256 (-0.568-3.12)","-0.163* (-0.321--0.015)",NA,"-0.084 (-0.196-0.022)","-0.118 (-0.291-0.019)",NA,NA,NA,"0.001 (-0.269-0.119)",594.882663849498,26.4172495162067,7
255,"-2.835*** (-3.045--2.651)",NA,"0.909*** (0.54-1.259)","0.886*** (0.549-1.209)","4.56*** (2.968-6.18)","1.211 (-0.653-3.13)","-0.21** (-0.364--0.063)","-0.223* (-0.424--0.032)",NA,NA,NA,"0.064 (-0.052-0.184)","-0.454 (-1.519-0.321)",NA,594.89280752753,26.4273931942384,6
256,"-2.748*** (-2.934--2.583)",NA,"1.013*** (0.658-1.349)",NA,"4.554*** (3.097-6.027)","1.086 (-0.607-2.832)","-0.216** (-0.365--0.073)","-0.231* (-0.424--0.048)",NA,NA,NA,NA,NA,NA,594.952410492961,26.4869961596702,3
257,"-3.004*** (-3.501--2.73)","-0.395*** (-0.629--0.171)","0.926*** (0.562-1.273)","0.818*** (0.478-1.143)","4.873*** (3.321-6.437)","1.043 (-0.78-2.943)",NA,"-0.182 (-0.387-0.008)","-0.052 (-0.168-0.058)","-0.11 (-0.281-0.027)","-1.227 (-5.971--0.116)",NA,NA,NA,594.971893842736,26.5064795094445,7
258,"-2.823*** (-3.021--2.648)","-0.379*** (-0.598--0.176)",NA,"0.928*** (0.602-1.24)","5.148*** (3.721-6.579)","0.671 (-0.996-2.412)",NA,"-0.186 (-0.385--0.001)","-0.047 (-0.159-0.059)",NA,NA,NA,NA,NA,595.007098104983,26.5416837716915,4
259,"-2.858*** (-3.062--2.679)",NA,"0.956*** (0.594-1.3)","0.896*** (0.564-1.213)","5.614*** (4.116-7.105)","0.11 (-1.618-1.938)",NA,"-0.258** (-0.455--0.07)",NA,"-0.027 (-0.195-0.105)",NA,"0.053 (-0.062-0.172)",NA,NA,595.109686828173,26.644272494882,5
260,"-2.885*** (-3.105--2.692)","-0.309** (-0.543--0.092)","0.896*** (0.528-1.245)","0.843*** (0.503-1.167)","4.662*** (3.077-6.277)","1.225 (-0.629-3.132)","-0.138 (-0.297-0.013)","-0.144 (-0.35-0.033)","-0.048 (-0.162-0.06)",NA,NA,NA,"-0.37 (-1.533-0.512)",NA,595.127708808648,26.6622944753567,7
261,"-2.812*** (-3.008--2.638)","-0.408*** (-0.626--0.205)","1.017*** (0.663-1.353)",NA,"4.93*** (3.544-6.318)","0.862 (-0.776-2.577)",NA,"-0.217* (-0.412--0.035)",NA,NA,NA,NA,NA,"0.025 (-0.225-0.124)",595.127798193668,26.662383860377,4
262,"-2.816*** (-3.016--2.639)","-0.387*** (-0.606--0.182)",NA,"0.923*** (0.596-1.235)","4.982*** (3.576-6.393)","0.823 (-0.838-2.56)",NA,"-0.215* (-0.409--0.033)",NA,NA,NA,NA,"-0.388 (-1.568-0.48)",NA,595.150135963955,26.6847216306637,4
263,"-2.754*** (-2.934--2.593)",NA,"1.052*** (0.704-1.382)",NA,"5.533*** (4.174-6.881)","0.092 (-1.482-1.753)",NA,"-0.279** (-0.469--0.099)",NA,NA,NA,NA,NA,NA,595.153074170236,26.6876598369452,2
264,"-2.851*** (-3.059--2.669)",NA,"0.909*** (0.542-1.257)","0.887*** (0.549-1.209)","4.869*** (3.271-6.489)","0.906 (-0.94-2.813)","-0.207** (-0.362--0.06)","-0.168 (-0.375-0.021)","-0.067 (-0.18-0.041)",NA,NA,NA,NA,"-0.062 (-0.348-0.065)",595.216876961745,26.7514626284539,6
265,"-2.902*** (-3.392--2.634)","-0.36** (-0.59--0.142)","1.012*** (0.657-1.35)",NA,"4.464*** (3.031-5.919)","1.23 (-0.442-2.946)","-0.159* (-0.311--0.016)",NA,NA,NA,"-1.261 (-5.946--0.127)",NA,NA,NA,595.220522895183,26.7551085618917,4
266,"-2.901*** (-3.124--2.707)","-0.322** (-0.554--0.106)","0.91*** (0.538-1.264)","0.855*** (0.514-1.182)","4.525*** (2.957-6.124)","1.345 (-0.504-3.247)","-0.138 (-0.297-0.012)","-0.184 (-0.388-0.007)",NA,NA,NA,"0.064 (-0.052-0.185)",NA,"-0.012 (-0.288-0.115)",595.251295519473,26.7858811861818,7
267,"-3.004*** (-3.483--2.71)",NA,"0.921*** (0.548-1.275)","0.926*** (0.588-1.251)","4.723*** (3.109-6.373)","1.18 (-0.699-3.106)","-0.252*** (-0.405--0.107)",NA,"-0.264** (-0.432--0.105)","-0.1 (-0.271-0.036)","-1.793 (-6.354--0.511)","0.248** (0.076-0.427)",NA,NA,595.29980294845,26.8343886151586,7
268,"-2.859*** (-3.064--2.678)",NA,"0.962*** (0.601-1.304)","0.896*** (0.563-1.213)","5.619*** (4.118-7.111)","0.095 (-1.632-1.926)",NA,"-0.254** (-0.451--0.066)",NA,"-0.037 (-0.206-0.096)",NA,NA,NA,"-0.082 (-0.373-0.064)",595.318387120647,26.8529727873563,5
269,"-2.831*** (-3.041--2.647)",NA,"0.907*** (0.541-1.255)","0.87*** (0.533-1.192)","4.526*** (2.929-6.156)","1.215 (-0.647-3.124)","-0.216** (-0.372--0.067)","-0.206* (-0.403--0.019)",NA,"-0.062 (-0.233-0.073)",NA,NA,"-0.44 (-1.501-0.33)",NA,595.328161784802,26.8627474515105,6
270,"-2.85*** (-3.059--2.666)",NA,"0.919*** (0.55-1.269)","0.885*** (0.548-1.208)","4.55*** (2.953-6.179)","1.192 (-0.669-3.105)","-0.219** (-0.374--0.07)","-0.215* (-0.414--0.025)",NA,"-0.056 (-0.227-0.079)",NA,"0.058 (-0.058-0.178)",NA,NA,595.417733416641,26.9523190833496,6
271,"-2.965*** (-3.458--2.711)","-0.371** (-0.61--0.143)","0.929*** (0.561-1.279)","0.863*** (0.523-1.189)","4.354*** (2.791-5.959)","1.448 (-0.39-3.322)","-0.167* (-0.324--0.018)",NA,NA,"-0.101 (-0.272-0.035)","-0.863 (-5.538-0.011)","0.038 (-0.076-0.156)",NA,NA,595.580827491349,27.115413158058,7
272,"-2.903*** (-3.122--2.711)","-0.32** (-0.558--0.1)","0.912*** (0.536-1.268)","0.867*** (0.524-1.195)","4.513*** (2.92-6.148)","1.507 (-0.374-3.431)","-0.167* (-0.327--0.016)","-0.132 (-0.335-0.038)","-0.207* (-0.378--0.046)","-0.128 (-0.3-0.009)",NA,"0.215* (0.043-0.395)",NA,NA,595.583531174477,27.1181168411855,8
273,"-2.853*** (-3.063--2.669)",NA,"0.923*** (0.553-1.273)","0.896*** (0.559-1.219)","4.632*** (3.043-6.246)","1.125 (-0.731-3.04)","-0.209** (-0.363--0.062)","-0.223* (-0.426--0.03)",NA,NA,NA,"0.062 (-0.054-0.181)",NA,"-0.063 (-0.343-0.067)",595.592195659942,27.1267813266505,6
274,"-2.965*** (-3.45--2.71)","-0.373** (-0.612--0.147)","0.918*** (0.55-1.267)","0.846*** (0.506-1.171)","4.386*** (2.828-5.985)","1.407 (-0.421-3.273)","-0.162* (-0.319--0.013)",NA,NA,"-0.103 (-0.274-0.033)","-0.948 (-4.295--2.068)",NA,NA,"0.057 (-0.193-0.161)",595.622306365058,27.1568920317674,7
275,"-2.823*** (-3.022--2.647)","-0.392*** (-0.61--0.188)",NA,"0.924*** (0.598-1.236)","5.037*** (3.637-6.442)","0.753 (-0.898-2.479)",NA,"-0.204* (-0.399--0.021)",NA,NA,NA,NA,NA,"0.03 (-0.208-0.125)",595.627968042077,27.1625537087862,4
276,"-3.025*** (-3.528--2.735)","-0.401*** (-0.636--0.178)","0.924*** (0.558-1.272)","0.813*** (0.472-1.138)","4.764*** (3.232-6.309)","1.121 (-0.69-3.009)",NA,"-0.202* (-0.402--0.015)",NA,"-0.099 (-0.269-0.036)","-1.468 (-6.285--0.899)",NA,NA,"0.045 (-0.248-0.161)",595.633778258139,27.1683639248479,7
277,"-2.894*** (-3.113--2.702)","-0.309** (-0.543--0.093)","0.899*** (0.53-1.25)","0.845*** (0.505-1.171)","4.716*** (3.136-6.324)","1.156 (-0.687-3.054)","-0.137 (-0.297-0.013)","-0.14 (-0.347-0.036)","-0.048 (-0.162-0.06)",NA,NA,NA,NA,"-0.01 (-0.29-0.114)",595.649010358825,27.1835960255335,7
278,"-2.863*** (-3.069--2.681)",NA,"0.915*** (0.54-1.271)","0.915*** (0.576-1.239)","4.771*** (3.151-6.422)","1.162 (-0.725-3.107)","-0.235** (-0.39--0.086)","-0.151 (-0.353-0.03)","-0.237** (-0.407--0.076)","-0.092 (-0.263-0.044)",NA,"0.24** (0.069-0.419)",NA,NA,595.66621003015,27.2007956968587,7
279,"-2.833*** (-3.037--2.654)","-0.292** (-0.522--0.081)",NA,"1.009*** (0.679-1.326)","4.837*** (3.347-6.356)","1.053 (-0.676-2.829)","-0.199** (-0.354--0.053)",NA,"-0.214** (-0.375--0.061)",NA,NA,"0.208* (0.042-0.383)",NA,NA,595.676139495673,27.2107251623818,5
280,"-2.976*** (-3.432--2.74)","-0.382*** (-0.612--0.163)","0.941*** (0.571-1.292)","0.893*** (0.555-1.216)","5.524*** (4.016-7.048)","0.448 (-1.318-2.29)",NA,NA,"-0.187* (-0.349--0.033)",NA,"-0.755 (-5.072--0.53)","0.183* (0.017-0.358)",NA,"0.063 (-0.197-0.168)",595.733202700825,27.2677883675341,7
281,"-3.018*** (-3.526--2.728)","-0.399*** (-0.633--0.175)","0.928*** (0.563-1.275)","0.817*** (0.477-1.141)","4.761*** (3.226-6.309)","1.128 (-0.688-3.021)",NA,"-0.209* (-0.407--0.022)",NA,"-0.1 (-0.27-0.036)","-1.36 (-6.207--0.791)",NA,"-0.108 (-1.447-0.884)",NA,595.782373401467,27.3169590681758,7
282,"-2.886*** (-3.108--2.691)","-0.322** (-0.555--0.104)","0.898*** (0.529-1.249)","0.84*** (0.499-1.165)","4.554*** (2.99-6.15)","1.308 (-0.535-3.203)","-0.135 (-0.294-0.015)","-0.166 (-0.367-0.018)",NA,NA,NA,NA,"-0.391 (-1.559-0.538)","0.015 (-0.27-0.144)",595.85289650694,27.3874821736492,7
283,"-2.849*** (-3.059--2.665)",NA,"0.922*** (0.555-1.271)","0.88*** (0.543-1.203)","4.584*** (2.991-6.209)","1.143 (-0.711-3.047)","-0.215** (-0.371--0.067)","-0.209* (-0.408--0.019)",NA,"-0.065 (-0.237-0.07)",NA,NA,NA,"-0.072 (-0.358-0.063)",595.866880049475,27.4014657161841,6
284,"-2.967*** (-3.448--2.675)",NA,"0.902*** (0.537-1.248)","0.892*** (0.556-1.214)","4.856*** (3.272-6.469)","0.877 (-0.952-2.756)","-0.225** (-0.377--0.081)",NA,"-0.088 (-0.198-0.017)",NA,"-1.614 (-6.197--0.406)",NA,"-0.112 (-1.27-0.747)",NA,595.879321527669,27.4139071943781,6
285,"-2.978*** (-3.453--2.69)",NA,"0.902*** (0.537-1.248)","0.891*** (0.555-1.213)","4.865*** (3.282-6.475)","0.866 (-0.959-2.742)","-0.225** (-0.377--0.081)",NA,"-0.086 (-0.197-0.018)",NA,"-1.713 (-6.255--0.448)",NA,NA,"0.013 (-0.239-0.103)",595.895329455176,27.429915121885,6
286,"-2.835*** (-3.046--2.65)",NA,"0.906*** (0.539-1.255)","0.879*** (0.542-1.201)","4.652*** (3.069-6.261)","1.096 (-0.751-2.999)","-0.206** (-0.36--0.059)","-0.207* (-0.406--0.018)",NA,NA,NA,NA,"-0.391 (-1.478-0.422)","-0.033 (-0.325-0.096)",595.946072201698,27.4806578684069,6
287,"-2.807*** (-2.999--2.636)","-0.478*** (-0.703--0.265)","1.04*** (0.69-1.374)",NA,"5.052*** (3.657-6.451)","0.739 (-0.891-2.442)",NA,NA,"-0.089 (-0.2-0.015)","-0.122 (-0.285-0.009)",NA,NA,NA,NA,595.94654509453,27.4811307612384,4
288,"-2.967*** (-3.44--2.723)","-0.325** (-0.567--0.096)","0.924*** (0.549-1.281)","0.889*** (0.547-1.217)","4.556*** (2.968-6.185)","1.441 (-0.428-3.351)","-0.186* (-0.344--0.037)",NA,"-0.233** (-0.402--0.073)","-0.132 (-0.304-0.005)","-0.789 (-5.26-0.048)","0.223* (0.051-0.403)",NA,NA,595.991227615231,27.5258132819403,8
289,"-2.954*** (-3.444--2.704)","-0.37** (-0.609--0.142)","0.924*** (0.557-1.273)","0.853*** (0.514-1.178)","4.389*** (2.829-5.99)","1.403 (-0.428-3.272)","-0.163* (-0.32--0.015)",NA,NA,"-0.105 (-0.276-0.032)","-0.792 (-5.428--0.066)",NA,"-0.046 (-1.335-0.928)",NA,596.000565938277,27.5351516049855,7
290,"-2.851*** (-3.058--2.669)",NA,"0.905*** (0.53-1.26)","0.917*** (0.578-1.242)","4.851*** (3.231-6.498)","1.102 (-0.787-3.05)","-0.221** (-0.375--0.074)","-0.163 (-0.367-0.023)","-0.218** (-0.384--0.061)",NA,NA,"0.233** (0.063-0.41)","-0.495 (-1.588-0.305)",NA,596.060440286562,27.595025953271,7
291,"-2.723*** (-2.896--2.569)",NA,"1.083*** (0.74-1.409)",NA,"5.846*** (4.534-7.152)","-0.35 (-1.857-1.238)",NA,NA,NA,NA,NA,NA,NA,NA,596.06964498742,27.6042306541286,1
292,"-2.962*** (-3.421--2.734)","-0.379*** (-0.609--0.159)","0.947*** (0.579-1.297)","0.901*** (0.563-1.223)","5.542*** (4.033-7.068)","0.433 (-1.335-2.278)",NA,NA,"-0.191* (-0.353--0.037)",NA,"-0.569 (-4.883--0.122)","0.184* (0.017-0.359)","-0.146 (-1.428-0.811)",NA,596.106583678891,27.6411693456,7
293,"-2.816*** (-3.007--2.646)","-0.421*** (-0.642--0.212)","1.057*** (0.703-1.395)",NA,"5.446*** (4.056-6.845)","0.398 (-1.22-2.086)",NA,NA,"-0.17* (-0.328--0.02)",NA,NA,"0.143 (-0.015-0.309)",NA,NA,596.113452930889,27.6480385975981,4
294,"-2.893*** (-3.109--2.703)","-0.409*** (-0.64--0.191)","0.926*** (0.562-1.272)","0.826*** (0.487-1.149)","4.945*** (3.402-6.499)","0.98 (-0.835-2.874)",NA,"-0.17 (-0.373-0.015)","-0.057 (-0.172-0.053)","-0.106 (-0.278-0.031)",NA,NA,"-0.365 (-1.572-0.556)",NA,596.116834020508,27.6514196872172,7
295,"-2.786*** (-2.984--2.61)","-0.375*** (-0.602--0.163)","1.017*** (0.662-1.354)",NA,"4.506*** (3.073-5.96)","1.196 (-0.477-2.914)","-0.158* (-0.31--0.015)",NA,NA,NA,NA,NA,"-0.3 (-1.451-0.557)",NA,596.162465435563,27.6970511022716,4
296,"-2.855*** (-3.056--2.677)",NA,"0.946*** (0.579-1.294)","0.915*** (0.582-1.234)","5.854*** (4.32-7.385)","0.063 (-1.708-1.936)",NA,"-0.216* (-0.417--0.026)","-0.205* (-0.37--0.048)",NA,NA,"0.214* (0.046-0.389)","-0.487 (-1.571-0.294)",NA,596.165536321992,27.7001219887012,6
297,"-2.791*** (-2.988--2.617)","-0.379*** (-0.605--0.169)","1.016*** (0.661-1.353)",NA,"4.55*** (3.121-6)","1.143 (-0.522-2.854)","-0.155* (-0.307--0.012)",NA,NA,NA,NA,NA,NA,"0.042 (-0.17-0.129)",596.228647408677,27.7632330753858,4
298,"-2.998*** (-3.457--2.708)",NA,"0.955*** (0.599-1.294)","0.909*** (0.578-1.225)","5.905*** (4.421-7.387)","-0.21 (-1.902-1.576)",NA,NA,"-0.1 (-0.211-0.006)","-0.052 (-0.22-0.081)","-1.872 (-6.281--0.364)",NA,NA,NA,596.234560537354,27.7691462040628,5
299,"-2.951*** (-3.419--2.71)","-0.322** (-0.558--0.1)","0.903*** (0.535-1.252)","0.859*** (0.519-1.183)","4.762*** (3.195-6.362)","1.078 (-0.746-2.95)","-0.154* (-0.311--0.006)",NA,"-0.066 (-0.176-0.039)",NA,"-0.788 (-5.237--0.559)",NA,NA,"0.055 (-0.199-0.156)",596.248387004922,27.7829726716311,7
300,"-2.901*** (-3.119--2.709)","-0.415*** (-0.646--0.198)","0.935*** (0.568-1.284)","0.835*** (0.496-1.158)","4.793*** (3.26-6.337)","1.118 (-0.699-3.015)",NA,"-0.215* (-0.415--0.026)",NA,"-0.091 (-0.262-0.044)",NA,"0.054 (-0.063-0.176)","-0.39 (-1.596-0.543)",NA,596.310909979432,27.8454956461408,7
301,"-3.042*** (-3.555--2.743)","-0.369** (-0.599--0.151)","0.922*** (0.554-1.273)","0.836*** (0.497-1.161)","4.916*** (3.402-6.441)","0.988 (-0.81-2.867)",NA,"-0.22* (-0.423--0.027)",NA,NA,"-1.564 (-6.463--1.04)","0.067 (-0.05-0.188)",NA,"0.052 (-0.227-0.164)",596.357884021339,27.8924696880483,7
302,"-2.793*** (-2.99--2.618)","-0.376*** (-0.603--0.166)","1.025*** (0.669-1.363)",NA,"4.521*** (3.089-5.975)","1.173 (-0.497-2.889)","-0.158* (-0.31--0.015)",NA,NA,NA,NA,"0.021 (-0.087-0.133)",NA,NA,596.379723276624,27.9143089433328,4
303,"-2.822*** (-3.027--2.642)",NA,"0.91*** (0.546-1.256)","0.898*** (0.562-1.218)","4.815*** (3.223-6.436)","0.924 (-0.911-2.81)","-0.24** (-0.394--0.094)",NA,"-0.102 (-0.213-0.004)","-0.075 (-0.247-0.061)",NA,NA,"-0.362 (-1.411-0.397)",NA,596.497034025159,28.0316196918676,6
304,"-2.902*** (-3.119--2.712)","-0.408*** (-0.639--0.191)","0.93*** (0.565-1.278)","0.829*** (0.489-1.153)","4.991*** (3.454-6.538)","0.921 (-0.884-2.805)",NA,"-0.168 (-0.372-0.018)","-0.057 (-0.173-0.052)","-0.108 (-0.28-0.029)",NA,NA,NA,"-0.022 (-0.314-0.118)",596.543669658169,28.0782553248778,7
305,"-2.936*** (-3.407--2.702)","-0.318** (-0.554--0.094)","0.907*** (0.541-1.256)","0.865*** (0.526-1.189)","4.768*** (3.198-6.37)","1.073 (-0.755-2.95)","-0.156* (-0.313--0.007)",NA,"-0.068 (-0.179-0.037)",NA,"-0.601 (-5.069--0.163)",NA,"-0.126 (-1.361-0.801)",NA,596.55747174624,28.0920574129492,7
306,"-3.031*** (-3.549--2.734)","-0.366** (-0.596--0.147)","0.927*** (0.559-1.276)","0.841*** (0.502-1.165)","4.911*** (3.394-6.441)","0.997 (-0.807-2.882)",NA,"-0.227* (-0.43--0.035)",NA,NA,"-1.423 (-6.356--0.9)","0.066 (-0.051-0.188)","-0.148 (-1.456-0.816)",NA,596.563554520333,28.0981401870417,7
307,"-2.886*** (-3.106--2.692)","-0.38** (-0.617--0.156)","0.925*** (0.558-1.275)","0.865*** (0.525-1.189)","4.397*** (2.837-5.997)","1.412 (-0.424-3.286)","-0.166* (-0.323--0.017)",NA,NA,"-0.098 (-0.27-0.038)",NA,"0.035 (-0.079-0.153)","-0.294 (-1.465-0.618)",NA,596.611083400982,28.145669067691,7
308,"-2.995*** (-3.453--2.708)",NA,"0.948*** (0.592-1.287)","0.912*** (0.581-1.228)","5.985*** (4.523-7.449)","-0.291 (-1.965-1.47)",NA,NA,"-0.093 (-0.203-0.011)",NA,"-1.823 (-6.219--0.331)",NA,NA,"0.02 (-0.238-0.11)",596.686030544351,28.2206162110597,5
309,"-2.868*** (-3.069--2.69)",NA,"0.957*** (0.59-1.305)","0.916*** (0.583-1.234)","5.87*** (4.333-7.4)","0.029 (-1.738-1.903)",NA,"-0.204* (-0.404--0.016)","-0.216** (-0.386--0.056)","-0.061 (-0.23-0.073)",NA,"0.218* (0.049-0.394)",NA,NA,596.71099172881,28.2455773955185,6
310,"-2.734*** (-2.922--2.568)",NA,NA,"1.003*** (0.679-1.312)","4.578*** (3.118-6.057)","1.014 (-0.68-2.755)","-0.262*** (-0.411--0.121)",NA,NA,NA,NA,NA,"-0.373 (-1.396-0.358)",NA,596.717000472645,28.2515861393543,3
311,"-2.987*** (-3.45--2.695)",NA,"0.95*** (0.593-1.288)","0.914*** (0.583-1.23)","5.984*** (4.521-7.45)","-0.289 (-1.965-1.475)",NA,NA,"-0.094 (-0.204-0.01)",NA,"-1.74 (-6.168--0.437)",NA,"-0.071 (-1.223-0.773)",NA,596.726416170466,28.2610018371749,5
312,"-3.032*** (-3.525--2.677)",NA,NA,"0.924*** (0.595-1.239)","4.333*** (2.854-5.835)","1.347 (-0.381-3.125)","-0.22** (-0.371--0.076)","-0.239* (-0.434--0.053)",NA,NA,"-3.025 (-7.722--0.633)",NA,NA,NA,596.7880010885,28.3225867552095,4
313,"-2.91*** (-3.129--2.718)","-0.415*** (-0.645--0.198)","0.939*** (0.571-1.289)","0.837*** (0.497-1.162)","4.841*** (3.314-6.379)","1.055 (-0.752-2.942)",NA,"-0.212* (-0.414--0.021)",NA,"-0.093 (-0.263-0.043)",NA,"0.053 (-0.064-0.174)",NA,"-0.021 (-0.305-0.119)",596.799143452226,28.3337291189347,7
314,"-2.907*** (-3.119--2.719)","-0.389*** (-0.618--0.172)","0.936*** (0.566-1.287)","0.895*** (0.557-1.218)","5.553*** (4.045-7.077)","0.431 (-1.337-2.277)",NA,NA,"-0.191* (-0.354--0.036)",NA,NA,"0.182* (0.015-0.358)","-0.403 (-1.584-0.557)","0.037 (-0.239-0.16)",596.803644161437,28.3382298281464,7
315,"-2.875*** (-3.077--2.696)",NA,"0.963*** (0.595-1.312)","0.926*** (0.592-1.245)","5.918*** (4.386-7.445)","-0.017 (-1.782-1.853)",NA,"-0.218* (-0.421--0.026)","-0.203* (-0.367--0.047)",NA,NA,"0.21* (0.043-0.383)",NA,"-0.083 (-0.38-0.067)",596.84517273912,28.3797584058292,6
316,"-2.87*** (-3.077--2.687)",NA,"0.92*** (0.544-1.276)","0.927*** (0.587-1.252)","4.923*** (3.305-6.566)","1.012 (-0.871-2.957)","-0.219** (-0.373--0.072)","-0.163 (-0.369-0.025)","-0.216** (-0.38--0.06)",NA,NA,"0.227** (0.059-0.403)",NA,"-0.068 (-0.358-0.068)",596.870282170521,28.4048678372301,7
317,"-2.88*** (-3.101--2.687)","-0.381** (-0.618--0.157)","0.917*** (0.549-1.266)","0.851*** (0.511-1.176)","4.427*** (2.872-6.022)","1.374 (-0.454-3.24)","-0.162* (-0.319--0.013)",NA,NA,"-0.101 (-0.272-0.036)",NA,NA,"-0.333 (-1.504-0.631)","0.031 (-0.234-0.151)",596.885219864732,28.4198055314405,7
318,"-2.89*** (-3.11--2.698)","-0.381** (-0.617--0.159)","0.924*** (0.555-1.275)","0.862*** (0.521-1.188)","4.435*** (2.881-6.03)","1.361 (-0.465-3.226)","-0.165* (-0.322--0.016)",NA,NA,"-0.098 (-0.27-0.038)",NA,"0.034 (-0.079-0.152)",NA,"0.012 (-0.245-0.124)",596.901103750628,28.4356894173372,7
319,"-2.895*** (-3.112--2.703)","-0.333** (-0.573--0.108)","0.919*** (0.545-1.275)","0.89*** (0.549-1.218)","4.597*** (3.013-6.221)","1.411 (-0.456-3.32)","-0.185* (-0.343--0.035)",NA,"-0.234** (-0.404--0.074)","-0.129 (-0.301-0.009)",NA,"0.221* (0.048-0.402)","-0.385 (-1.579-0.552)",NA,596.960298654993,28.494884321702,8
320,"-2.836*** (-3.04--2.657)",NA,"0.92*** (0.555-1.267)","0.904*** (0.568-1.225)","4.869*** (3.283-6.485)","0.857 (-0.97-2.735)","-0.24** (-0.394--0.094)",NA,"-0.102 (-0.214-0.003)","-0.077 (-0.249-0.059)",NA,NA,NA,"-0.042 (-0.312-0.069)",596.97946955347,28.5140552201793,6
321,"-2.814*** (-3.008--2.642)","-0.445*** (-0.67--0.232)",NA,"0.944*** (0.619-1.255)","5.206*** (3.797-6.625)","0.579 (-1.065-2.291)",NA,NA,"-0.088 (-0.199-0.016)","-0.091 (-0.246-0.035)",NA,NA,NA,NA,596.994765285455,28.5293509521636,4
