"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
1751,"-2.71*** (-2.89--2.549)","-0.421*** (-0.635--0.222)",NA,NA,"4.771*** (3.482-6.059)","0.965 (-0.558-2.554)",NA,"-0.258** (-0.454--0.075)",NA,NA,NA,"0.036 (-0.073-0.15)","-0.541 (-1.708-0.361)","0.061 (-0.152-0.159)",630.70558235894,62.2401680256485,5
1752,"-3.031*** (-3.512--2.678)",NA,NA,"0.926*** (0.6-1.237)","5.326*** (3.877-6.775)","0.386 (-1.282-2.133)",NA,"-0.268** (-0.47--0.076)","-0.059 (-0.173-0.048)","-0.038 (-0.192-0.086)","-3.136 (-7.761--0.605)",NA,"-0.228 (-1.413-0.658)","0.02 (-0.23-0.122)",630.745926488362,62.2805121550708,7
1753,"-2.622*** (-2.783--2.477)",NA,NA,NA,"4.436*** (3.104-5.78)","1.028 (-0.51-2.608)","-0.276*** (-0.42--0.14)",NA,NA,NA,NA,"0 (-0.104-0.107)",NA,"0.001 (-0.181-0.074)",630.888080034915,62.4226657016242,3
1754,"-3.065*** (-3.56--2.66)",NA,NA,NA,"3.867*** (2.482-5.272)","1.74* (0.127-3.391)","-0.234** (-0.382--0.094)","-0.313** (-0.509--0.125)",NA,"-0.072 (-0.22-0.047)","-4.564 (-9.265--0.936)","0.044 (-0.066-0.157)",NA,NA,631.021332049789,62.5559177164981,5
1755,"-2.974*** (-3.466--2.615)",NA,"1.013*** (0.659-1.349)",NA,"4.258*** (2.794-5.748)","1.305 (-0.395-3.042)","-0.252*** (-0.4--0.111)",NA,NA,"-0.069 (-0.232-0.06)","-2.976 (-7.658--0.543)","0.017 (-0.092-0.129)","-0.142 (-1.318-0.764)","0.032 (-0.167-0.125)",631.11223969886,62.6468253655694,7
1756,"-2.957*** (-3.417--2.632)",NA,"1.045*** (0.701-1.374)",NA,"5.695*** (4.325-7.06)","-0.09 (-1.655-1.556)",NA,NA,"-0.104 (-0.214-0)","-0.06 (-0.221-0.068)","-2.657 (-7.078--0.449)",NA,"-0.126 (-1.287-0.746)","0.031 (-0.188-0.126)",631.190944610524,62.7255302772327,6
1757,"-2.659*** (-2.828--2.507)",NA,NA,NA,"4.323*** (2.964-5.692)","1.248 (-0.328-2.872)","-0.242** (-0.388--0.103)","-0.268** (-0.464--0.082)",NA,NA,NA,"0.033 (-0.075-0.144)",NA,"-0.022 (-0.247-0.064)",631.243036678776,62.7776223454846,4
1758,"-2.949*** (-3.44--2.62)","-0.403*** (-0.63--0.189)",NA,NA,"4.684*** (3.329-6.045)","1.17 (-0.413-2.814)",NA,"-0.256** (-0.456--0.069)","-0.153 (-0.315-0)","-0.117 (-0.264-0.004)","-2.544 (-7.263--0.25)","0.149 (-0.009-0.315)",NA,NA,631.300475622223,62.8350612889318,6
1759,"-2.701*** (-2.885--2.538)","-0.362*** (-0.588--0.154)",NA,NA,"4.119*** (2.747-5.513)","1.611* (0.018-3.24)","-0.172* (-0.325--0.029)","-0.195* (-0.394--0.012)","-0.068 (-0.18-0.038)","-0.118 (-0.267-0.005)",NA,NA,"-0.442 (-1.633-0.435)",NA,631.342611484341,62.8771971510504,6
1760,"-2.708*** (-2.891--2.545)","-0.305** (-0.528--0.101)",NA,NA,"4.473*** (3.084-5.881)","1.331 (-0.274-2.981)","-0.17* (-0.322--0.027)","-0.2* (-0.399--0.016)","-0.151 (-0.31--0.002)",NA,NA,"0.15 (-0.007-0.315)","-0.498 (-1.673-0.369)",NA,631.360972555853,62.8955582225619,6
1761,"-2.715*** (-2.888--2.559)","-0.483*** (-0.703--0.276)",NA,NA,"5.158*** (3.848-6.476)","0.622 (-0.896-2.2)",NA,NA,"-0.192* (-0.354--0.039)","-0.112 (-0.259-0.007)",NA,"0.141 (-0.018-0.306)",NA,"0.053 (-0.144-0.136)",631.36523045682,62.8998161235288,5
1762,"-2.711*** (-2.885--2.554)","-0.479*** (-0.701--0.269)",NA,NA,"5.136*** (3.822-6.457)","0.658 (-0.867-2.244)",NA,NA,"-0.197* (-0.359--0.044)","-0.113 (-0.26-0.006)",NA,"0.143 (-0.016-0.309)","-0.37 (-1.591-0.521)",NA,631.372555092745,62.9071407594535,5
1763,"-3.035*** (-3.529--2.631)",NA,NA,NA,"3.894*** (2.513-5.295)","1.71* (0.102-3.356)","-0.235** (-0.384--0.095)","-0.299** (-0.492--0.116)",NA,"-0.074 (-0.222-0.045)","-4.297 (-8.994--0.885)",NA,"-0.249 (-1.442-0.626)",NA,631.384342891811,62.9189285585202,5
1764,"-2.952*** (-3.449--2.667)","-0.297* (-0.535--0.075)",NA,"0.947*** (0.611-1.27)","4.296*** (2.775-5.852)","1.668 (-0.115-3.491)","-0.19* (-0.348--0.041)","-0.161 (-0.367-0.022)","-0.214* (-0.384--0.053)","-0.115 (-0.273-0.014)","-1.495 (-6.258--0.922)","0.23* (0.058-0.41)","-0.295 (-1.593-0.726)","0.062 (-0.187-0.175)",631.431995803273,62.9665814699817,10
1765,"-2.642*** (-2.803--2.495)",NA,NA,NA,"5.48*** (4.187-6.763)","0.136 (-1.346-1.694)",NA,"-0.288** (-0.483--0.103)","-0.065 (-0.174-0.038)",NA,NA,NA,"-0.551 (-1.585-0.161)",NA,631.432371921054,62.9669575877629,3
1766,"-3.05*** (-3.538--2.654)",NA,NA,NA,"3.913*** (2.533-5.314)","1.684* (0.078-3.328)","-0.235** (-0.383--0.094)","-0.295** (-0.488--0.112)",NA,"-0.075 (-0.223-0.045)","-4.423 (-9.074--0.86)",NA,NA,"0.013 (-0.189-0.095)",631.566949621443,63.1015352881524,5
1767,"-2.94*** (-3.389--2.651)",NA,NA,"1.029*** (0.708-1.337)","5.999*** (4.581-7.419)","-0.235 (-1.85-1.461)",NA,NA,"-0.258** (-0.425--0.1)","-0.053 (-0.205-0.071)","-2 (-6.312--0.971)","0.223* (0.056-0.399)","-0.232 (-1.398-0.664)","0.043 (-0.169-0.137)",631.645523926006,63.1801095927152,7
1768,"-2.988*** (-3.48--2.606)",NA,NA,NA,"4.216*** (2.828-5.618)","1.43 (-0.172-3.077)","-0.226** (-0.373--0.087)","-0.263** (-0.464--0.073)","-0.054 (-0.165-0.05)",NA,"-3.728 (-8.429--0.786)",NA,"-0.288 (-1.457-0.569)",NA,631.758092174313,63.2926778410215,5
1769,"-2.7*** (-2.881--2.539)","-0.371*** (-0.599--0.158)",NA,NA,"4.375*** (3.006-5.77)","1.4 (-0.183-3.017)","-0.205** (-0.355--0.064)",NA,"-0.213** (-0.376--0.059)","-0.126 (-0.275--0.005)",NA,"0.163 (0.002-0.331)","-0.401 (-1.597-0.488)",NA,631.831545955164,63.3661316218727,6
1770,"-2.834*** (-3.321--2.552)","-0.356** (-0.582--0.143)",NA,NA,"4.286*** (2.953-5.635)","1.318 (-0.229-2.904)","-0.185* (-0.334--0.045)",NA,NA,NA,"-1.593 (-6.27--0.35)","0.011 (-0.094-0.12)","-0.199 (-1.405-0.704)",NA,631.840421076323,63.375006743032,5
1771,"-2.656*** (-2.825--2.504)",NA,NA,NA,"4.553*** (3.153-5.969)","1.183 (-0.428-2.841)","-0.246*** (-0.392--0.107)","-0.226* (-0.425--0.041)","-0.188* (-0.346--0.038)",NA,NA,"0.176* (0.018-0.341)","-0.579 (-1.649-0.172)",NA,631.970809614415,63.5053952811235,5
1772,"-2.71*** (-2.892--2.547)","-0.37*** (-0.595--0.163)",NA,NA,"4.176*** (2.811-5.564)","1.537* (-0.045-3.155)","-0.171* (-0.324--0.027)","-0.184 (-0.383--0.002)","-0.068 (-0.18-0.038)","-0.119 (-0.268-0.004)",NA,NA,NA,"0.024 (-0.2-0.115)",632.016777850058,63.5513635167666,6
1773,"-3.007*** (-3.493--2.631)",NA,NA,NA,"4.237*** (2.85-5.638)","1.4 (-0.199-3.044)","-0.225** (-0.372--0.086)","-0.258** (-0.46--0.068)","-0.053 (-0.164-0.051)",NA,"-3.888 (-8.538--0.835)",NA,NA,"0.015 (-0.183-0.097)",632.023122217371,63.5577078840797,5
1774,"-3.037*** (-3.536--2.63)",NA,NA,NA,"4.027*** (2.661-5.407)","1.594* (-0.002-3.234)","-0.223** (-0.369--0.084)","-0.311** (-0.507--0.123)",NA,NA,"-4.26 (-8.994--0.899)","0.048 (-0.062-0.161)","-0.272 (-1.454-0.593)",NA,632.046257487526,63.5808431542354,5
1775,"-2.857*** (-3.316--2.584)","-0.479*** (-0.702--0.269)",NA,NA,"4.912*** (3.616-6.213)","0.798 (-0.712-2.366)",NA,NA,"-0.09 (-0.199-0.013)","-0.107 (-0.254-0.013)","-1.724 (-6.142--0.333)",NA,NA,"0.085 (-0.099-0.178)",632.092853924607,63.6274395913159,5
1776,"-2.707*** (-2.886--2.546)","-0.377*** (-0.604--0.168)",NA,NA,"4.415*** (3.05-5.806)","1.344 (-0.231-2.953)","-0.201** (-0.352--0.06)",NA,"-0.208** (-0.37--0.054)","-0.126 (-0.274--0.004)",NA,"0.159 (-0.001-0.326)",NA,"0.04 (-0.161-0.124)",632.133131877778,63.6677175444869,6
1777,"-2.969*** (-3.477--2.616)","-0.31** (-0.536--0.1)",NA,NA,"4.116*** (2.756-5.491)","1.585* (-0.003-3.218)","-0.154* (-0.305--0.011)","-0.251** (-0.451--0.063)",NA,NA,"-2.889 (-7.74--1.502)","0.048 (-0.062-0.162)",NA,"0.068 (-0.125-0.159)",632.212698270743,63.7472839374522,6
1778,"-3.054*** (-3.548--2.654)",NA,NA,NA,"4.05*** (2.685-5.429)","1.564* (-0.029-3.202)","-0.222** (-0.369--0.084)","-0.305** (-0.502--0.118)",NA,NA,"-4.407 (-9.093--0.836)","0.049 (-0.061-0.163)",NA,"0.02 (-0.173-0.1)",632.221025716356,63.7556113830648,5
1779,"-2.717*** (-2.899--2.555)","-0.314** (-0.536--0.113)",NA,NA,"4.534*** (3.151-5.937)","1.249 (-0.346-2.889)","-0.168* (-0.319--0.025)","-0.187* (-0.386--0.004)","-0.148 (-0.305-0)",NA,NA,"0.146 (-0.01-0.309)",NA,"0.03 (-0.184-0.117)",632.237750469984,63.7723361366925,6
1780,"-2.669*** (-2.838--2.518)",NA,NA,NA,"4.484*** (3.085-5.903)","1.234 (-0.376-2.886)","-0.262*** (-0.411--0.122)","-0.211* (-0.407--0.027)","-0.207* (-0.37--0.053)","-0.084 (-0.232-0.036)",NA,"0.184* (0.024-0.35)",NA,NA,632.238386999771,63.7729726664795,5
1781,"-2.687*** (-2.867--2.525)","-0.384*** (-0.605--0.178)",NA,NA,"4.349*** (3.017-5.696)","1.267 (-0.279-2.854)","-0.18* (-0.33--0.04)",NA,NA,NA,NA,"0.01 (-0.096-0.119)","-0.476 (-1.597-0.414)","0.071 (-0.109-0.16)",632.25873453544,63.7933202021488,5
1782,"-2.925*** (-3.378--2.584)",NA,NA,NA,"5.515*** (4.299-6.726)","-0.089 (-1.49-1.375)",NA,NA,NA,NA,"-3.477 (-7.836--0.758)",NA,NA,"0.042 (-0.117-0.117)",632.334459123622,63.8690447903313,2
1783,"-2.931*** (-3.429--2.603)","-0.303** (-0.529--0.094)",NA,NA,"4.266*** (2.886-5.66)","1.45 (-0.143-3.088)","-0.156* (-0.308--0.013)","-0.212* (-0.415--0.023)","-0.041 (-0.152-0.063)",NA,"-2.513 (-7.276--3.015)",NA,NA,"0.065 (-0.132-0.155)",632.354732958814,63.8893186255227,6
1784,"-2.863*** (-3.318--2.594)","-0.428*** (-0.647--0.222)",NA,NA,"5.308*** (4.016-6.609)","0.444 (-1.048-1.994)",NA,NA,"-0.163* (-0.318--0.016)",NA,"-1.646 (-6.018--0.327)","0.13 (-0.025-0.292)",NA,"0.089 (-0.087-0.179)",632.42236874801,63.9569544147193,5
1785,"-2.934*** (-3.437--2.593)","-0.312** (-0.539--0.102)",NA,NA,"4.141*** (2.785-5.512)","1.561* (-0.022-3.19)","-0.153* (-0.305--0.01)","-0.236* (-0.432--0.052)",NA,NA,"-2.592 (-7.411--1.382)",NA,"-0.363 (-1.581-0.588)","0.079 (-0.122-0.182)",632.490917210214,64.0255028769228,6
1786,"-2.638*** (-2.8--2.492)",NA,NA,NA,"5.287*** (4.015-6.547)","0.288 (-1.188-1.84)",NA,"-0.333*** (-0.526--0.15)",NA,NA,NA,"0.035 (-0.073-0.147)","-0.559 (-1.592-0.153)",NA,632.523937198863,64.058522865572,3
1787,"-2.7*** (-2.885--2.535)","-0.378*** (-0.603--0.168)",NA,NA,"4.006*** (2.648-5.388)","1.684* (0.097-3.307)","-0.165* (-0.318--0.022)","-0.222* (-0.415--0.041)",NA,"-0.104 (-0.253-0.017)",NA,NA,"-0.513 (-1.682-0.404)","0.048 (-0.173-0.148)",632.564812041282,64.0993977079912,6
1788,"-3.018*** (-3.51--2.622)",NA,NA,NA,"4.081*** (2.72-5.455)","1.532 (-0.055-3.166)","-0.223** (-0.37--0.084)","-0.29** (-0.483--0.106)",NA,NA,"-4.095 (-8.771--1.748)",NA,"-0.329 (-1.501-0.566)","0.029 (-0.171-0.122)",632.575080961551,64.1096666282597,5
1789,"-2.619*** (-2.773--2.479)",NA,NA,NA,"5.912*** (4.672-7.146)","-0.395 (-1.805-1.085)",NA,NA,"-0.112* (-0.219--0.013)",NA,NA,NA,"-0.424 (-1.426-0.268)",NA,632.609823429517,64.1444090962264,2
1790,"-2.908*** (-3.372--2.579)",NA,NA,NA,"4.403*** (3.013-5.816)","1.27 (-0.325-2.9)","-0.284*** (-0.429--0.147)",NA,"-0.241** (-0.404--0.088)","-0.096 (-0.243-0.024)","-2.962 (-7.423--0.626)","0.188* (0.027-0.355)",NA,NA,632.616334812384,64.1509204790933,5
