"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","weights","model_id","Nparam"
"1062","X","X","X"," "," "," ","X","X"," ","X"," ",612.752790269536,44.2873759362454,1.67419318325181e-10,1071,6
"1063"," "," ","X"," "," "," ","X"," "," ","X","X",612.789172970721,44.3237586374297,1.64401269232796e-10,487,4
"1064","X"," ","X","X","X","X"," "," "," ","X"," ",612.796976947387,44.3315626140958,1.63761027318885e-10,1153,6
"1065","X","X"," "," "," "," ","X","X","X"," ","X",612.798317486525,44.3329031532344,1.63651300063165e-10,1146,6
"1066"," "," ","X"," ","X","X","X","X","X"," "," ",612.819189075351,44.3537747420597,1.61952349110542e-10,1437,6
"1067","X"," "," "," "," "," "," "," ","X"," ","X",612.835724817893,44.3703104846019,1.60618868057027e-10,110,3
"1068"," "," "," "," ","X"," ","X","X","X"," ","X",612.858500715933,44.3930863826422,1.58800124112909e-10,1014,5
"1069"," "," ","X","X","X"," ","X","X","X"," "," ",612.866548814861,44.40113448157,1.5816238855888e-10,1412,6
"1070"," "," "," "," "," ","X"," "," ","X"," ","X",612.898525920634,44.4331115873428,1.55653709361494e-10,220,3
"1071"," "," ","X","X","X"," ","X"," "," ","X","X",612.970910695333,44.5054963620416,1.50120955729056e-10,1417,6
"1072"," ","X"," ","X","X","X","X"," ","X"," ","X",612.97272801262,44.5073136793294,1.49984608980712e-10,1756,7
"1073","X","X"," "," ","X","X"," "," ","X"," ","X",613.006807350256,44.541393016965,1.47450571805939e-10,1123,6
"1074"," "," "," ","X","X","X","X"," ","X"," ","X",613.048141965844,44.5827276325529,1.44434440469207e-10,1462,6
"1075"," "," ","X","X"," "," ","X","X","X"," "," ",613.052658589302,44.5872442560111,1.44108630506904e-10,923,5
"1076"," "," ","X","X"," ","X"," ","X","X"," "," ",613.140063871153,44.674649537862,1.37946337766767e-10,917,5
"1077","X"," ","X","X","X"," ","X"," "," ","X"," ",613.14318404736,44.6777697140685,1.3773129711113e-10,1157,6
"1078","X","X","X"," ","X","X","X","X","X","X","X",613.212327370777,44.7469130374863,1.33051065140621e-10,2043,10
"1079"," ","X"," ","X","X"," ","X","X","X"," ","X",613.241565838144,44.776151504853,1.31120109464158e-10,1763,7
"1080"," "," ","X","X","X","X"," ","X","X"," "," ",613.262370384417,44.7969560511256,1.2976323181314e-10,1406,6
"1081","X","X"," "," "," "," "," "," "," "," "," ",613.273506910807,44.8080925775158,1.29042683947182e-10,12,2
"1082"," ","X"," ","X"," ","X","X","X"," ","X","X",613.351227063345,44.8858127300539,1.24124259510812e-10,1769,7
"1083"," "," ","X","X","X"," "," ","X"," ","X","X",613.358851345451,44.8934370121599,1.23651981093374e-10,1420,6
"1084"," "," "," "," ","X"," "," "," "," "," "," ",613.365083495679,44.8996691623876,1.23267271934921e-10,5,1
"1085","X","X","X","X","X"," "," ","X"," ","X"," ",613.406042299875,44.940627966584,1.20768505857536e-10,1496,7
"1086","X"," "," "," "," "," "," ","X","X"," "," ",613.427445533003,44.9620311997122,1.19482978493976e-10,106,3
"1087"," "," "," "," "," ","X"," ","X","X"," "," ",613.429649210652,44.9642348773614,1.19351400011846e-10,216,3
"1088"," ","X"," ","X"," ","X","X","X","X"," ","X",613.434644800355,44.9692304670638,1.19053656705064e-10,1768,7
"1089"," "," ","X","X"," "," ","X","X"," ","X"," ",613.438556883707,44.973142550416,1.18821010397968e-10,924,5
"1090"," "," ","X","X"," ","X"," ","X"," ","X"," ",613.439104511739,44.9736901784478,1.18788479993783e-10,918,5
"1091"," "," ","X","X"," ","X"," "," "," ","X","X",613.445776885747,44.9803625524559,1.18392839742492e-10,922,5
"1092","X"," ","X","X","X"," "," ","X"," ","X"," ",613.476995903134,45.011581569843,1.16559134532721e-10,1160,6
"1093"," ","X","X"," "," "," ","X","X"," ","X","X",613.500476595694,45.0350622624026,1.1519869159327e-10,1343,6
"1094","X"," ","X","X"," ","X"," "," "," ","X"," ",613.508263583058,45.0428492497671,1.14751038248591e-10,655,5
"1095"," ","X"," "," ","X"," "," ","X"," "," "," ",613.516741081605,45.0513267483142,1.14265666779279e-10,129,3
"1096","X"," "," "," "," ","X","X"," ","X"," "," ",613.556448473208,45.0910341399167,1.12019442697543e-10,333,4
"1097","X"," "," "," "," ","X"," "," ","X"," "," ",613.58886358033,45.1234492470392,1.10218515316465e-10,99,3
"1098"," ","X"," "," "," "," "," "," "," "," ","X",613.608782475147,45.1433681418564,1.09126248027563e-10,30,2
"1099"," "," ","X","X"," "," ","X"," "," ","X","X",613.627704980876,45.1622906475845,1.08098645868302e-10,928,5
"1100"," "," "," "," ","X","X"," ","X"," ","X","X",613.63795957518,45.1725452418892,1.07545810475967e-10,1011,5
"1101","X"," "," "," ","X"," ","X","X","X"," "," ",613.659631860803,45.1942175275124,1.06386720091204e-10,747,5
"1102"," "," ","X","X"," ","X"," "," ","X"," ","X",613.67568044553,45.2102661122394,1.05536457884171e-10,921,5
"1103","X"," ","X"," "," "," ","X","X","X","X","X",613.694411291896,45.2289969586053,1.04552678241884e-10,1667,7
"1104","X","X"," ","X","X","X","X"," ","X"," "," ",613.697936939755,45.2325226064635,1.04368532634658e-10,1557,7
"1105","X","X"," "," "," "," ","X","X"," ","X","X",613.711407224202,45.2459928909109,1.03667957608202e-10,1147,6
"1106","X"," ","X","X"," ","X"," "," ","X"," "," ",613.726501775503,45.2610874422123,1.02888492076547e-10,654,5
"1107"," ","X"," ","X","X"," ","X","X"," ","X","X",613.739533651959,45.274119318668,1.02220256473075e-10,1764,7
"1108"," ","X","X","X","X"," "," ","X"," ","X","X",613.743775308689,45.2783609753975,1.0200369458017e-10,1714,7
"1109","X"," ","X"," ","X"," "," ","X","X"," "," ",613.7474627989,45.2820484656085,1.0181579903652e-10,676,5
"1110","X","X"," ","X","X"," ","X","X","X"," "," ",613.751629344188,45.2862150108972,1.01603909755827e-10,1566,7
"1111","X"," ","X","X"," "," ","X"," "," ","X"," ",613.757664570973,45.292250237682,1.01297770574185e-10,659,5
"1112"," ","X"," "," ","X"," ","X"," "," "," "," ",613.768676472768,45.3032621394765,1.00741562655289e-10,128,3
"1113"," "," "," ","X"," ","X","X"," ","X"," ","X",613.79226011836,45.3268457850693,9.95606124618735e-11,992,5
"1114","X"," "," "," ","X","X"," "," "," ","X","X",613.829398716466,45.3639843831747,9.77289011069108e-11,746,5
"1115"," "," ","X"," ","X","X"," ","X","X"," "," ",613.84003468748,45.3746203541887,9.72105597148175e-11,937,5
"1116","X"," "," "," ","X"," "," ","X"," ","X","X",613.846350466194,45.3809361329025,9.690406371784e-11,755,5
"1117"," "," ","X"," "," "," ","X","X","X"," "," ",613.876373142708,45.4109588094169,9.54602678052971e-11,482,4
"1118"," "," ","X"," ","X"," "," ","X","X"," ","X",613.892451669839,45.4270373365478,9.46959140895356e-11,950,5
"1119"," "," ","X","X"," "," ","X"," ","X"," ","X",613.896304714048,45.4308903807566,9.4513655936393e-11,927,5
"1120"," "," ","X","X"," "," "," ","X","X"," ","X",613.905317021234,45.4399026879431,9.40887210161338e-11,930,5
"1121","X","X","X"," "," "," "," ","X","X"," ","X",613.936608921915,45.4711945886244,9.26280699928335e-11,1077,6
"1122","X","X","X"," "," ","X"," ","X","X"," "," ",613.9683861723,45.5029718390093,9.11679675333585e-11,1064,6
"1123","X"," ","X","X"," "," "," ","X","X"," "," ",613.972946113398,45.5075317801068,9.09603440300717e-11,661,5
"1124","X"," ","X","X"," "," ","X"," ","X"," "," ",613.996650452188,45.5312361188974,8.98886302367076e-11,658,5
"1125","X","X","X","X","X","X"," "," "," ","X"," ",613.998283272865,45.532868939574,8.98152741780833e-11,1489,7
"1126","X","X"," ","X"," ","X","X","X"," ","X"," ",614.009798317361,45.5443839840698,8.92996465320036e-11,1577,7
"1127"," "," ","X","X","X"," "," ","X","X"," ","X",614.017441965187,45.5520276318963,8.895901034782e-11,1419,6
"1128","X"," ","X","X","X"," "," "," "," ","X","X",614.031116750731,45.5657024174399,8.83528373365098e-11,1164,6
"1129","X","X"," ","X"," ","X","X","X","X"," "," ",614.057162335744,45.5917480024532,8.7209696268661e-11,1576,7
"1130"," ","X"," "," "," ","X"," "," "," "," "," ",614.058280379671,45.5928660463796,8.71609577572589e-11,25,2
"1131"," ","X"," ","X","X","X"," ","X","X"," ","X",614.097860582802,45.6324462495114,8.545298972426e-11,1759,7
"1132","X"," ","X","X","X"," "," ","X","X"," "," ",614.103026252207,45.6376119189164,8.52325635616798e-11,1159,6
"1133"," "," ","X","X","X","X","X"," "," ","X","X",614.118950853841,45.6535365205502,8.45566108916323e-11,1785,7
"1134","X","X","X","X"," ","X","X"," "," ","X"," ",614.122702794516,45.657288461225,8.4398133893321e-11,1503,7
"1135"," ","X"," ","X"," "," "," "," "," "," ","X",614.12624038367,45.6608260503791,8.42489828794154e-11,126,3
"1136"," "," "," ","X","X"," "," "," "," "," "," ",614.195097785205,45.7296834519143,8.13977633814078e-11,39,2
"1137"," ","X"," ","X","X","X"," ","X"," ","X","X",614.212183685146,45.746769351855,8.07053482063876e-11,1760,7
"1138","X","X"," ","X","X"," ","X","X"," ","X"," ",614.259906940134,45.7944926068434,7.88023814835457e-11,1567,7
"1139","X","X","X","X","X","X","X"," ","X","X","X",614.291916266589,45.8265019332982,7.75512148635812e-11,2039,10
"1140"," ","X"," ","X"," "," ","X"," "," "," "," ",614.296807124649,45.8313927913576,7.73618005654699e-11,122,3
"1141","X"," "," ","X","X","X","X"," ","X"," "," ",614.326036534568,45.8606222012772,7.62394024116232e-11,1221,6
"1142","X"," ","X","X","X","X","X"," "," ","X"," ",614.333023316527,45.8676089832355,7.59735330342096e-11,1614,7
"1143","X"," "," "," ","X"," ","X"," ","X"," ","X",614.364979458235,45.8995651249438,7.47692690683175e-11,751,5
"1144"," ","X","X","X","X","X"," "," "," ","X","X",614.403731879212,45.9383175459208,7.33344693529518e-11,1705,7
"1145"," "," "," ","X"," ","X","X","X","X"," "," ",614.410173622457,45.9447592891663,7.30986484199848e-11,988,5
"1146","X","X"," ","X","X"," "," ","X","X"," ","X",614.425520752041,45.9601064187497,7.25398678664559e-11,1573,7
"1147"," "," ","X","X"," "," "," ","X"," ","X","X",614.43802695095,45.9726126176593,7.20876841066717e-11,931,5
"1148","X","X","X"," "," "," ","X"," "," ","X","X",614.455072954182,45.9896586208905,7.14758915166396e-11,1075,6
"1149","X"," "," "," ","X","X"," ","X"," ","X"," ",614.462716899058,45.9973025657672,7.12032340059055e-11,742,5
"1150"," ","X","X","X"," ","X","X"," "," ","X","X",614.476902395399,46.0114880621076,7.06999941845687e-11,1721,7
"1151"," ","X","X"," ","X"," "," "," "," "," "," ",614.500788587421,46.0353742541297,6.9860639589233e-11,113,3
"1152","X"," ","X"," "," "," ","X"," ","X"," "," ",614.504198895919,46.0387845626279,6.97416179267761e-11,287,4
"1153"," ","X","X","X","X","X","X","X"," ","X"," ",614.51211116537,46.0466968320791,6.94662557343854e-11,1937,8
"1154","X"," ","X","X"," "," "," "," "," ","X","X",614.521359656739,46.0559453234475,6.91457682785725e-11,666,5
"1155","X"," ","X","X"," "," "," ","X"," ","X"," ",614.530359077963,46.0649447446721,6.88353312933495e-11,662,5
