"ID","(Intercept)","bordering_language_evenness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_richness","bordering_language_richness_perkm","altitude_range","area","L1_pop","roughness","vehicularity","islands11km","BIC","delta","Nparam"
1688,"-2.628*** (-2.786--2.483)",NA,NA,NA,"5.557*** (4.596-6.536)","-0.257 (-1.374-0.881)","-0.345*** (-0.519--0.181)","-0.275** (-0.457--0.103)",NA,"0.063 (-0.042-0.127)",NA,"-0.011 (-0.102-0.082)",NA,"-0.062 (-0.185-0.043)",836.508250508636,66.3361322005651,5
1689,"-2.722*** (-2.911--2.561)",NA,"0.993*** (0.668-1.305)",NA,"5.832*** (4.793-6.895)","-0.458 (-1.65-0.755)","-0.318*** (-0.499--0.144)","-0.241** (-0.428--0.066)","-0.076 (-0.215-0.057)","0.073 (-0.041-0.147)","-0.13 (-1.302-0.048)","0.051 (-0.086-0.192)","-0.052 (-0.965-0.654)","-0.075 (-0.207-0.038)",836.59544196588,66.4233236578085,9
1690,"-2.599*** (-2.747--2.463)",NA,NA,NA,"6.183*** (5.237-7.144)","-0.948 (-2.023-0.155)",NA,"-0.307*** (-0.489--0.135)","-0.076 (-0.208-0.05)",NA,NA,"0.054 (-0.078-0.19)",NA,NA,836.65283847263,66.4807201645594,3
1691,"-2.557*** (-2.697--2.428)",NA,NA,NA,"6.393*** (5.486-7.317)","-1.333** (-2.362--0.283)",NA,NA,NA,NA,NA,NA,NA,"0.011 (-0.106-0.111)",836.671867567759,66.4997492596877,1
1692,"-2.596*** (-2.751--2.454)","-0.214** (-0.35--0.087)",NA,NA,"5.214*** (4.193-6.264)","0.035 (-1.119-1.195)","-0.258** (-0.435--0.094)",NA,"-0.121 (-0.257-0.008)",NA,NA,"0.049 (-0.086-0.187)",NA,"-0.088 (-0.213-0.019)",836.677311278469,66.5051929703978,5
1693,"-2.597*** (-2.758--2.454)","-0.213** (-0.348--0.085)",NA,NA,"5.146*** (4.136-6.183)","0.082 (-1.068-1.239)","-0.259** (-0.436--0.092)",NA,"-0.086 (-0.176-0)",NA,"-0.062 (NA-0.062)",NA,NA,"-0.087 (-0.211-0.02)",836.72468596649,66.5525676584195,5
1694,"-2.622*** (-2.781--2.477)",NA,NA,NA,"5.712*** (4.762-6.676)","-0.389 (-1.488-0.734)","-0.314*** (-0.484--0.153)","-0.264** (-0.448--0.091)","-0.029 (-0.12-0.057)","0.075 (-0.033-0.146)",NA,NA,"-0.291 (-1.159-0.376)",NA,836.761777768254,66.5896594601833,5
1695,"-2.637*** (-2.821--2.481)","-0.174* (-0.311--0.045)",NA,NA,"4.95*** (3.925-6.003)","0.311 (-0.861-1.491)","-0.264** (-0.446--0.094)","-0.256** (-0.437--0.086)",NA,"0.068 (-0.033-0.134)","-0.26 (-1.487-0.039)",NA,NA,"-0.077 (-0.201-0.029)",836.806507988461,66.6343896803897,6
1696,"-2.627*** (-2.795--2.482)",NA,NA,NA,"5.583*** (4.617-6.566)","-0.266 (-1.385-0.876)","-0.314*** (-0.487--0.147)","-0.281** (-0.465--0.108)","-0.039 (-0.131-0.048)",NA,"-0.106 (-1.172-0.057)",NA,NA,"-0.07 (-0.194-0.036)",836.858912413353,66.6867941052824,5
1697,"-2.598*** (-2.757--2.453)","-0.197** (-0.331--0.07)",NA,NA,"5.336*** (4.339-6.354)","-0.096 (-1.227-1.047)","-0.261** (-0.438--0.095)",NA,"-0.07 (-0.159-0.015)","0.077* (-0.02-0.145)",NA,NA,"-0.26 (-1.125-0.415)",NA,836.881256257431,66.7091379493604,5
1698,"-2.62*** (-2.789--2.478)",NA,NA,NA,"5.994*** (5.074-6.931)","-0.736 (-1.794-0.344)","-0.358*** (-0.531--0.193)",NA,"-0.063 (-0.152-0.021)","0.088** (-0.003-0.152)","-0.122 (-1.257-0.045)",NA,NA,NA,836.93798785717,66.7658695490989,4
